keyword,category,
Columbia 425 Portland,CLOTHING,
prAna Living,CLOTHING,
Pumpkin,KID,
BSN SPORTS,KID,
GAMESTOP,KID,
NBCCAMPS.COM,KID,
US SPORTS CAMPS,KID,
SPIRIT HALLOWEEN,KID,
ALAMO TOLL,AUTO,
PARKING,AUTO,
Extrmterain,AUTO,
NAPA,AUTO,
KENDALL,AUTO,
REILLY,AUTO,
PARKNG,AUTO,
AUTO,AUTO,
WA DOL,AUTO,
VEHICLE LICENSING,AUTO,
SQ *ALLEN'S CROSLEY LANESVancouver,RECREATION,
I9 SPORTS,RECREATION,
CLUB,RECREATION,
ReflectionRun,RECREATION,
ALS,RECREATION,
FISH WILDLIFE,RECREATION,
BUTLER AMUSEMENTS,RECREATION,
CLIMBING,RECREATION,
Sky Zone,RECREATION,
ScaryRun,RECREATION,
IMAX,RECREATION,
MEDICAL,MEDICAL,
Kaiser Permanente Mail Orde,MEDICAL,
PHARMACY,MEDICAL,
DENTAL,MEDICAL,
KP,MEDICAL,
MED*UCHEALTH,MEDICAL,
KAISER ON-LINE,MEDICAL,
REI,CLOTHING,
WRENTHAM,CLOTHING,
J. CREW FCTRY STR,CLOTHING,
SPORTSMANS WAREHOUSE,ClOTHING,
BODYWORKS,EXERCISE,
Eagle hill School,KIDS SCHOOL,
Eaglehill School,KIDS SCHOOL,
PHOTO,KIDS SCHOOL,
Check,KIDS SCHOOL,
BELLIMAGING.COM,KIDS SCHOOL,
Cascadia,KIDS SCHOOL,
GARDNER,KIDS SCHOOL,
CASCADIA,KIDS SCHOOL,
SQUARE,KIDS SCHOOL,
Gardner,KIDS SCHOOL,
CHESS,KIDS SCHOOL,
Scholastic,KIDS SCHOOL,
Photo,KIDS SCHOOL,
FANDANGO * FANDANGO.COM C,MOVIES,
REGAL CINEMAS,MOVIES,
PLAZA 10,MOVIES,
GOOGLE TV,MOVIES,
AMC 0614 VANCOUVER MAL,MOVIES,
Eats,VACATION,
Uber,VACATION,
HAYDEN,VACATION,
DENVER AIRPORT DENVER,VACATION,
STEAMBOAT,VACATION,
ARROWHEAD TRAVEL PLAZA PENDLETON,VACATION,
INNS,VACATION,
GULF OIL 92068864 HUNTINGTON,VACATION,
TACOS & TEQUILA,VACATION,
TST* SALT & STRAW,VACATION,
MAVERIK,VACATION,
PDX,VACATION,
MANZANITA,VACATION,
RUTLAND,VACATION,
Bristol,VACATION,
ALASKA,VACATION,
ZOO,VACATION,
BRISTOL,VACATION,
RESORT,VACATION,
JETBLUE,VACATION,
MAKETPLACE,VACATION,
BOSTON,VACATION,
DELAWARE,VACATION,
SPORTING,SPORTING GOODS,
NCCPA,WORK,
DEA,WORK,
Of Health Hsqa,WORK,
TRAINING,WORK,
EMRAP,CME,
QUALITYINTERACTIONS,CME,
Ccme.org,CME,
Acls,CME,
ANTIMICROBIAL,CME,
ROSH,CME,
ACADEMY,CME,
Hippoeduc,CME,
ESD,NANNY TAX,
Esd,NANNY TAX,
Bpproductio Bppro,GUITAR,
RINZEIX*,LOOK INTO,
COMB & COL*,LOOK INTO,
Replacement,LOOK INTO,
XC Kayak New York NY,LOOK INTO,
MICROSOFT,LOOK INTO,
Online,LOOK INTO,
Teva,LOOK INTO,
0034541195,LOOK INTO,
eBay,LOOK INTO,
ALLCITYPRIN,LOOK INTO,
TJMAXX #0376,CLOTHING,
BOWDOIN COLLEGE-BOOKSTOR,CLOTHING,
MACYS VANCOUVER,CLOTHING,
Columbia Sportswear,CLOTHING,
ZAPPOS.COM,CLOTHING,
OUAC,CLOTHING,
FOOT,CLOTHING,
OLD NAVY,ClOTHING,
Patagonia,CLOTHING,
LANDS,CLOTHING,
GOODWILL,CLOTHING,
Membership,MEMBERSHIP,
LICENSE,LICENSE,
POKEMON,KIDS,
CITY,REGISTRATOIN ? ,
CLARK,REGISTRATOIN ?,
Citi,CITY CC PAYMENT,
Card,USAA CC PAYMENT,
Marlena,NANNY PAY,
Tremback,NANNY PAY,
Transfer,TRANSFER,
TRANSFER,TRANSFER,
SSA,S_S,
Security,S_S,
Interest,ACCOUNT INTEREST,
Fargo,Mortgage,
WF HOME MTG,Mortgage,
Treasury,TAXES,
IRS,TAXES,
Insurance,INSURANCE,
PROG CLASSIC     INS PREM,MOTORCYCLE INSURANCE,
Progressive,MOTORCYCLE INSURANCE,
Paycheck,PAYCHECK,
Foundation,PAYCHECK,
Financial,INCOME ? KP,
Vanguard,VANGUARD INVESTMENT,
SUPERCENTER,SHOPPING,
Mobile Deposit,EXTRA,
ART,Christmass2024,
Mountain,Christmass2024,
Columbia,Christmass2024,
Universalcy,Christmass2025,
HOBBY-LOBBY #930,Christmass2025,
Dividend,USAA INSURANCE DIVID,
PARKROSE HARDWARE,Hobbies,
TARGET,HOUSEHOLD,
DIGIKEYCORP,Hobbies,
Wellesley Coll Bkst,Hobbies,
GEORGIES CERAMIC,Hobbies,
MICHAELS STORES,Hobbies,
A & W FRUITLAND,VACATION,
DLR,VACATION,
WAMSUTTER,VACATION,
RICHESNEWSST1788,VACATION,
HENRY'S TAVERN,VACATION,
ANAHEIM,VACATION,
COTOPAXI,VACATION,
LAX,VACATION,
PLAYITAGAINSP,SPORTS,
TEAMFANSHOP,SPORTS,
LACROSSE,SPORTS,
FERN PRAIRIE MARKET CAMAS,FUEL,
